Run	Iteration	Algorithm	Best P[0]	Best P[1]	Best P[2]	Best P[3]	Best Fitness	Avg Fitness	Worst Fitness
1	0	CSO	62.4684	79.7284	2.0129	58.9898	3.7059	2.9649	2.1694
1	25	CSO	36.9909	81.4936	0.0000	0.0000	6.8589	3.8763	2.5875
1	50	CSO	20.8006	22.3162	11.2824	27.4950	6.8589	4.1921	3.0201
1	75	CSO	72.9086	76.3771	0.0000	1.0324	6.8624	4.8643	3.4338
1	100	CSO	87.0807	100.0000	0.0000	42.5380	6.8624	4.9120	3.6223
1	0	FPA	0.3784	44.4097	2.9889	69.1879	4.1135	3.0031	1.9979
1	25	FPA	62.4370	66.4502	0.0000	0.0000	6.0158	3.9429	2.1308
1	50	FPA	45.1649	90.5207	13.1236	0.0000	6.0191	4.3648	3.2339
1	75	FPA	99.8071	85.8386	0.0000	0.1106	6.0191	4.5306	3.2339
1	100	FPA	71.4612	98.0748	53.7034	0.7077	6.3741	4.9459	3.8067
2	0	CSO	22.7594	44.3270	18.9187	89.1476	3.7722	2.8877	1.8551
2	25	CSO	69.0272	100.0000	3.8683	10.6804	6.7335	4.0956	2.5705
2	50	CSO	69.1199	7.2414	13.0836	73.7310	6.7335	4.5553	2.9544
2	75	CSO	18.1498	72.5311	16.4094	7.7680	6.7913	4.8742	3.5838
2	100	CSO	0.0000	72.6966	21.2497	12.3876	6.7913	5.1672	3.6545
2	0	FPA	19.3103	89.2874	0.2930	88.7632	4.3282	3.0087	1.9704
2	25	FPA	43.5139	67.7356	0.0000	0.0000	6.0929	4.1109	2.8953
2	50	FPA	48.9691	87.5580	29.9436	8.1974	6.5959	4.8124	3.4935
2	75	FPA	55.9326	49.9139	48.2515	0.0000	6.5959	5.1512	3.8578
2	100	FPA	62.2009	62.1393	0.0000	0.0000	6.5959	5.4057	3.9211
3	0	CSO	0.8974	45.2430	19.1928	79.5963	3.9492	3.0596	2.2001
3	25	CSO	19.7405	24.4081	19.2463	0.0000	5.7964	4.0199	2.8791
3	50	CSO	65.3887	84.9156	0.0000	2.2142	6.6806	4.4385	3.2779
3	75	CSO	40.3146	60.8904	49.3246	81.6211	6.6806	4.5311	3.7101
3	100	CSO	15.6443	100.0000	0.0000	0.0000	6.8221	4.7095	3.7196
3	0	FPA	20.1962	39.6146	10.7079	81.1923	3.9593	3.0714	2.0771
3	25	FPA	100.0000	28.5625	41.8350	10.9387	5.7344	3.8989	2.5943
3	50	FPA	37.9855	51.1542	28.2402	82.8087	5.7549	4.3060	2.5943
3	75	FPA	25.6500	69.9586	0.0000	0.0000	6.4445	4.7535	3.7303
